CommunityID,Density,ClusteringCoeff,Conductance,FlakeODF,FOMD,TPR,CutRatio,Cohesiveness,Separability
168,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
169,0.6,0.7826087,0.19402985,0.2,0.6,0.9,0.00052209,0.11111111,2.07692308
170,0.65151515,0.65753425,0.0,0.0,0.58333333,1.0,0.0,0.45454545,43.0
171,0.9,0.875,0.5,0.2,0.0,1.0,0.00144289,0.75,0.5
172,0.30666667,0.35732984,0.0,0.0,0.56,1.0,0.0,0.125,92.0
173,0.37894737,0.46223565,0.0,0.0,0.35,1.0,0.0,0.15789474,72.0
174,0.78571429,0.8,0.0,0.0,0.5,1.0,0.0,0.42857143,22.0
175,0.62121212,0.66666667,0.0,0.0,0.58333333,1.0,0.0,0.36363636,41.0
176,0.70909091,0.73228346,0.0,0.0,0.72727273,1.0,0.0,0.5,39.0
177,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0
178,0.57142857,0.64705882,0.0,0.0,0.5,1.0,0.0,0.30769231,52.0
179,0.44761905,0.54807692,0.25396825,0.06666667,0.53333333,1.0,0.00085848,0.14285714,1.46875
180,0.57142857,0.5,0.51020408,0.42857143,0.14285714,1.0,0.00143258,0.33333333,0.48
181,0.8,0.72972973,0.0,0.0,0.0,1.0,0.0,0.6,12.0
182,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0
183,0.57142857,0.375,0.14285714,0.0,0.0,0.85714286,0.00022921,0.33333333,3.0
184,0.48571429,0.5952381,0.11304348,0.0,0.6,1.0,0.00034876,0.14285714,3.92307692
185,0.40659341,0.55172414,0.10843373,0.0,0.5,1.0,0.00025859,0.23076923,4.11111111
186,0.68181818,0.70588235,0.0,0.0,0.5,1.0,0.0,0.45454545,45.0
187,0.39393939,0.44736842,0.24637681,0.08333333,0.16666667,0.91666667,0.0005694,0.09090909,1.52941176
188,0.44444444,0.63829787,0.0,0.0,0.11111111,1.0,0.0,0.25,16.0
189,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
190,0.52727273,0.52258065,0.03333333,0.0,0.36363636,1.0,7.305e-05,0.3,14.5
191,0.53571429,0.41176471,0.30232558,0.0,0.25,0.875,0.00065209,0.28571429,1.15384615
192,0.35714286,0.42032967,0.0,0.0,0.28571429,1.0,0.0,0.15,75.0
193,0.55555556,0.73809524,0.32432432,0.3,0.5,0.8,0.00096386,0.11111111,1.04166667
194,0.61904762,0.6,0.21212121,0.0,0.0,0.85714286,0.00040112,0.33333333,1.85714286
195,0.28571429,0.0,0.14285714,0.0,0.0,0.0,0.00011461,0.16666667,3.0
196,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,15.0
197,0.7,0.6,0.0,0.0,0.0,1.0,0.0,0.5,7.0
198,0.60606061,0.68871595,0.0,0.0,0.66666667,1.0,0.0,0.18181818,40.0
199,0.64444444,0.71153846,0.14705882,0.0,0.6,1.0,0.00040161,0.22222222,2.9
200,0.62121212,0.68327402,0.0,0.0,0.5,1.0,0.0,0.27272727,41.0
201,0.56363636,0.46296296,0.0,0.0,0.36363636,1.0,0.0,0.3,31.0
202,0.36842105,0.45859873,0.0,0.0,0.42105263,0.94736842,0.0,0.11111111,63.0
203,0.47619048,0.62068966,0.0,0.0,0.6,1.0,0.0,0.28571429,50.0
204,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
205,0.54545455,0.67924528,0.2,0.09090909,0.54545455,1.0,0.00054787,0.2,2.0
206,0.66666667,0.66964286,0.05882353,0.0,0.33333333,1.0,0.00013382,0.5,8.0
207,0.53571429,0.6122449,0.25,0.0,0.125,0.875,0.00050161,0.14285714,1.5
208,0.44166667,0.57142857,0.01851852,0.0,0.5625,0.9375,5.032e-05,0.06666667,26.5
209,0.83333333,0.75,0.23076923,0.0,0.0,1.0,0.00030048,0.66666667,1.66666667
210,0.375,0.6893617,0.03225806,0.0,0.5625,0.9375,7.548e-05,0.13333333,15.0
211,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
212,0.2987013,0.38341969,0.0,0.0,0.40909091,0.90909091,0.0,0.14285714,69.0
213,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
214,0.57777778,0.73880597,0.0,0.0,0.5,1.0,0.0,0.22222222,26.0
215,0.55238095,0.64383562,0.0,0.0,0.8,1.0,0.0,0.35714286,58.0
216,1.0,1.0,0.04761905,0.0,0.0,1.0,8.016e-05,1.0,10.0
217,0.75555556,0.76811594,0.0,0.0,0.7,1.0,0.0,0.55555556,34.0
218,0.34848485,0.40243902,0.13207547,0.08333333,0.08333333,0.83333333,0.00023446,0.09090909,3.28571429
219,0.41758242,0.46511628,0.31531532,0.0,0.28571429,1.0,0.00100563,0.23076923,1.08571429
220,0.25189394,0.39157036,0.0,0.0,0.3030303,1.0,0.0,0.0625,133.0
221,0.48484848,0.59638554,0.0,0.0,0.41666667,0.91666667,0.0,0.09090909,32.0
222,0.89285714,0.87969925,0.0,0.0,0.875,1.0,0.0,0.71428571,25.0
223,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
224,0.63636364,0.63316583,0.13580247,0.0,0.63636364,1.0,0.00040177,0.4,3.18181818
225,0.38181818,0.32926829,0.22222222,0.0,0.18181818,0.81818182,0.00043829,0.2,1.75
226,0.39705882,0.49541284,0.0,0.0,0.35294118,0.94117647,0.0,0.0625,54.0
227,0.57142857,0.6,0.0,0.0,0.25,1.0,0.0,0.28571429,16.0
228,0.47619048,0.0,0.25925926,0.0,0.0,0.0,0.00040112,0.33333333,1.42857143
229,0.23655914,0.3950495,0.0,0.0,0.48387097,0.90322581,0.0,0.03333333,110.0
230,0.85714286,0.82894737,0.02702703,0.0,0.28571429,1.0,5.73e-05,0.66666667,18.0
231,0.60714286,0.72727273,0.17073171,0.125,0.375,0.875,0.00035112,0.14285714,2.42857143
232,0.61818182,0.6969697,0.0,0.0,0.63636364,1.0,0.0,0.3,34.0
233,0.36190476,0.47663551,0.08433735,0.0,0.26666667,0.93333333,0.00018779,0.14285714,5.42857143
234,0.6043956,0.67205543,0.0,0.0,0.64285714,1.0,0.0,0.38461538,55.0
235,0.66666667,0.69230769,0.0,0.0,0.0,1.0,0.0,0.4,10.0
236,0.54545455,0.67741935,0.0,0.0,0.5,0.91666667,0.0,0.09090909,36.0
237,0.57142857,0.72413793,0.15789474,0.125,0.25,0.875,0.00030096,0.14285714,2.66666667
238,1.0,1.0,0.25,0.0,0.0,1.0,0.00040064,1.0,1.5
239,0.64444444,0.68627451,0.10769231,0.0,0.5,1.0,0.00028112,0.44444444,4.14285714
240,0.67272727,0.72413793,0.01333333,0.0,0.63636364,1.0,3.652e-05,0.4,37.0
241,0.44166667,0.56973294,0.01851852,0.0,0.5625,1.0,5.032e-05,0.26666667,26.5
242,0.47794118,0.56521739,0.0,0.0,0.47058824,1.0,0.0,0.25,65.0
243,0.95238095,0.94736842,0.0,0.0,0.71428571,1.0,0.0,0.83333333,20.0
244,0.61818182,0.63076923,0.0,0.0,0.45454545,1.0,0.0,0.4,34.0
245,0.425,0.52242744,0.0,0.0,0.375,1.0,0.0,0.13333333,51.0
246,0.39705882,0.49723757,0.0,0.0,0.52941176,0.94117647,0.0,0.0625,54.0
247,0.19073084,0.2115573,0.00925926,0.0,0.35294118,0.67647059,2.385e-05,0.06060606,53.5
248,0.66666667,0.66071429,0.0,0.0,0.7,1.0,0.0,0.22222222,30.0
249,0.60714286,0.703125,0.20930233,0.0,0.125,1.0,0.00045144,0.28571429,1.88888889
250,0.86666667,0.86666667,0.21212121,0.0,0.0,1.0,0.00046779,0.6,1.85714286
251,0.66666667,0.62068966,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
252,0.60714286,0.64615385,0.0,0.0,0.25,1.0,0.0,0.28571429,17.0
253,0.51282051,0.6043956,0.1011236,0.07692308,0.38461538,1.0,0.00027837,0.16666667,4.44444444
254,0.43589744,0.54069767,0.10526316,0.0,0.46153846,1.0,0.00024744,0.25,4.25
255,0.44444444,0.69642857,0.13513514,0.0,0.22222222,0.66666667,0.00022303,0.125,3.2
256,0.37878788,0.44210526,0.20634921,0.0,0.25,0.83333333,0.00043542,0.09090909,1.92307692
257,0.93333333,0.92307692,0.0,0.0,0.0,1.0,0.0,0.8,14.0
258,0.66666667,0.66666667,0.0,0.0,0.0,1.0,0.0,0.4,10.0
259,0.38970588,0.50886076,0.0,0.0,0.47058824,1.0,0.0,0.125,53.0
260,0.66666667,0.71900826,0.0,0.0,0.44444444,1.0,0.0,0.375,24.0
261,0.24242424,0.37937743,0.0,0.0,0.38235294,1.0,0.0,0.09090909,136.0
262,0.42222222,0.54929577,0.20833333,0.1,0.2,0.8,0.00040161,0.11111111,1.9
263,0.58974359,0.65830721,0.0,0.0,0.69230769,1.0,0.0,0.33333333,46.0
264,0.27339901,0.3801214,0.0,0.0,0.31034483,1.0,0.0,0.10714286,111.0
265,0.28787879,0.36486486,0.26923077,0.0,0.16666667,0.75,0.00046892,0.09090909,1.35714286
266,0.35833333,0.49640288,0.03370787,0.0,0.375,0.9375,7.548e-05,0.06666667,14.33333333
267,0.57777778,0.62903226,0.0,0.0,0.4,1.0,0.0,0.33333333,26.0
268,0.7,0.64285714,0.0,0.0,0.0,1.0,0.0,0.5,7.0
269,0.4,0.3,0.36842105,0.16666667,0.0,0.5,0.00046779,0.2,0.85714286
270,0.83333333,0.75,0.0,0.0,0.0,1.0,0.0,0.66666667,5.0
271,0.25641026,0.27586207,0.28571429,0.0,0.15384615,0.76923077,0.00049488,0.08333333,1.25
272,0.16809117,0.24107143,0.0,0.0,0.14814815,0.88888889,0.0,0.03846154,59.0
273,0.58333333,0.85714286,0.0,0.0,0.44444444,0.77777778,0.0,0.125,21.0
274,0.73333333,0.67741935,0.0,0.0,0.0,1.0,0.0,0.6,11.0
275,0.3047619,0.42704626,0.03030303,0.0,0.28571429,0.95238095,7.684e-05,0.05,16.0
276,1.0,1.0,0.14285714,0.0,0.0,1.0,0.00013349,1.0,3.0
