username,latitude,longitude
816edf508f06094cf8f1ca892f2f4134c3505887,1.2931061,103.855804
ecc3dbf4c9c5b1feb583cf2e0bbc435fba45da1b,1.2931061,103.855804
e6cc7cbd98e68f7eced8ae24f7a63bd923628990,46.231796,-63.1192
30c0a42de2390ff705563845efa57b2f7aed2a6d,40.109497,-88.2123
af4fd0c8759b5549d564cf92302aa9986a0afd0b,30.384003,-97.7073
776ff75aa42f66d97dd11d1b5327cb9f8f27f1e7,36.141495,-86.8599
41f1a045600d61468f80a52083f3fff6040d9059,6.2518005,-75.5636
57da8786089a65b47d6c86ba46aed305887ac5c9,47.0,8.0
817fc21a0c9442b1c747e1fe9c51d781639160b7,-23.547699,-46.635803
5988ac97ef88dd5f61405b49de3c404ab7376510,18.975006,72.825806
2c65dae3c5eb70715f540f81b70c95b80c0cb570,20.0,77.0
76d902494d9cc779edf3bd97951f1aae32a16e0e,50.716705,3.149994
8b99a3d1c33d31c3cef07bc6bcd95d104850ec6b,43.092804,-2.3137054
94b0c1a505b14f38f0cf290ecf62d6866d3367a5,40.0345,-82.8695
5268e17159fbef1a626dc7aa03dbb9cae791ef74,39.174805,-77.5326
d7a823999be9e296d7fdfde7507737cf3d9b9ddc,40.101807,-83.073
85b0f4dd6891ab285fe624f079e3f1b57288c86a,39.774704,-105.1033
00ad6c556f8ab73b0b8584bd3d8a16740d4cc15e,40.714294,-74.006
684756b11c15066a9e2357dae1c44d7b0c7a5d45,51.0,9.0
274924f064b240bae067331e1e29de9cd431325d,33.371506,-111.4369
0df964dea86afd8953f46e22478763376e46667f,43.076096,-89.4104
19e124d595ed877248edc2cc02850ef6e0accf8d,33.795197,-84.3248
005bd71561ec4f07afe77bbb85d2b8199e2cd8fd,28.600006,77.20001
bf6b6f66d2b7c41cd747ea35595401f1ff9eb574,42.4019,-71.1193
3012e1dafdcbf6c425936618bf7c8545b7f7450d,20.649994,106.06671
c96604dbf6bad55a60ebe5bb9cb98466e4837939,34.0522,-118.2437
bbe5537cd4e18ed600bdd240b870577cb0940d4c,37.179092,-80.3515
5991a11a5d7c8d3849def3f83dfb77ef4e1bdaa5,41.988205,-91.7535
e7a3cadbea4f3fefc47085add2a89d5d72c15aa2,39.928894,116.388306
218121fd24f5b95c05084de68da94080078897f5,45.134995,-76.1313
3de9ac30d331e6fbf52c75bbb04a237c016551c7,20.0,77.0
27d162402a75cd86c98bfd5469a59dc5737babe2,29.834,-95.4342
203c254ae365c3471e8fed8eac87fd12b4ec5800,41.3649,-82.115
a83cfa285f713200c84f48eb436342e76ff3ce4c,40.399994,-3.6833038
78e200d25229d734c3288c5ccccc8dcbe606eb88,41.705,-71.4604
a5e3de37706cede2f5073359f69bcd93d14181c7,30.532104,-97.7286
d2a319af6223e841d1d4d3b60455309666788c16,36.0625,-115.3192
50bedd618734951c1ba2db596801ca01cb5a3c89,55.75,37.616592
9234a9119d117d44ac5f0242b330f65575f59527,22.569702,88.36969
3ecc956a22534fb8cec1bc7ca76ab0b79f733c6b,33.833298,35.833298
72ddb5c7839a609fb4f56698cdaeea8516935a85,18.975006,72.825806
9d931b6b85e1fc218fd6bdda9fafe86ba2a82e03,12.983307,77.58331
8774322b3b300e5ae8cc1aaf93d583d0196ccea1,52.516693,13.399994
52ec297ae9db55ed388af35db105ac05ab295bc3,46.986694,-122.7408
f907fc1027f37d8929a3c9aa03e50027280d9597,41.3833,2.1833038
c75c82844e1ae5e81d828e30481c6118d5a692cc,47.5,19.083298
c154388fad63c6cef93cf8a530f7f9c14ad11024,43.897293,-78.8641
db61398199a27fd365a5d1ddc9c6ce68226cb093,57.716705,11.966705
899dbc7381923f6a12d7aba40abd7f88f77c64bd,53.100296,8.875198
de426cf48d83dea0cd9a4f50f29bf588ef1b82d8,39.936707,-75.2622
d3627f04e0cd10dd60ef5a8ae6fbad304d0ddad0,34.731705,-92.2511
85c9bad5cc87fdc2a2e2945be4d0dd17bca16333,49.2218,-123.022
2c9376cfeff6314e4602c10b4df1cf8d34c988f3,50.449997,30.5233
24c8c4bc7bc7a876e975bc0092cbd7898966cf55,20.0,77.0
58ee5d932386a2ba2d5539f7ec90cab6834564f9,30.404999,-91.1868
bb3bcc49df9493c0364d6fc81e2a8525c50c636e,40.8499,-73.8769
9d073335e8b9f8b8b99d2f23c8281935bce4930f,18.975006,72.825806
832b03792f5179fe13567a17a6495db7779f447a,18.975006,72.825806
b3d46d80ed2cb8d3a79b541ec4f4edc530882698,29.954697,-90.0751
8a97f991f86f7ff6db37a0387c2e4f5b21673d39,41.078003,-74.1764
c8dd8db58619d70d89083e99cb51a2c15e78d2ff,48.043106,-122.059
6a0d2a1a2a0186c3de7e12ec9b0b72ea83ed1c22,12.983307,77.58331
ae8010ca5b5cf1a99d9bbdf0e759c9f8ccc6d21f,30.212997,-95.5386
a71e4787851d96aa441173fe9aa589e8228cf2ec,33.600693,73.0679
dac26f96a623f85228f091636fd099df47c5751d,51.5,-0.13000488
308ba92326dcfd92492772046cfcd87594bb5a49,54.897705,-1.410202
e201274a7cbbc74e3e5a3ed9f203c219c73373e9,59.916702,10.75
3c26092fe874bc4a11afcb62063c9daf64a2896d,40.755295,-73.9924
d3a2c534bcd760f1bb1ca2f79a9340b67778e1fd,52.352005,4.887497
b61a0f28536ee927a5b602d23bc16373a75f952d,-26.2052,28.049805
cca7a71b135f2fd163d2517b8f579efa4ac753f9,36.175003,-115.1372
f1d8169ba98b280d4872d72483798a45f710164c,-0.21670532,-78.5
bdaa705242c8efb95cabe853210e229fdbfd2fe4,41.839203,-88.3612
1b74776acd62c0663b134c335e46bfbb4bb31127,43.8759,-79.4381
5c35e25e06692c37c2b3ca96f55bc08c77cede19,55.752197,37.6156
3d853b4b69d9aed7b9f663cd6e86f5b9fc05b21c,32.711,-117.0535
157a9848aef1eca89065c740fdedc2ea2d87bbba,40.503693,-111.7075
d32f255e38d5231bcd3624cd606f0d5186dee9d6,39.682495,-105.1568
5965fb71b7bf379c4938d21c0251c4851e1f1cbe,51.5,-0.13000488
66ee17baf24aab0adabedbd2d54bfcdebba17efc,33.414795,-111.9093
aed0078a95e3f6561cd38fee2245304fc6738b13,40.4086,-3.6921997
eb5165ed81ceec0375fc135ea854595e137407cd,-23.547699,-46.635803
66f4d1723faaa6a83bb579735712fa4289ecfcf3,12.983307,77.58331
db080303c13a4ff8279eec75393f4cb85d6cf76e,33.307205,-87.5859
db81db51abcf632ad9518142001747c541f4b109,35.746307,-78.7239
2b0c38a6b9b5b6bbe23e271a57a7c507efebb0f9,17.375305,78.474396
11a4a576a6fc2d5a354342144f60953d0d6791c2,12.983307,77.58331
b94eba7d2b823cb68af05e3c4b5b32c9864b1092,35.696106,51.423096
,,
0790d5aa8f416b95d4f045d6e637105b8091a895,25.0,45.0
64ce585af732eeeef559abd83853e1a1bb5aa414,17.375305,78.474396
ae28aa7418dd892892027c395b6c56256e366c16,37.721695,-122.4444
7141aa73728beb1213ef5f66cc46c671d4667ec9,38.403595,-77.5332
346ba1c224062069311a272ca9cf4b3097b2a52e,-23.547699,-46.635803
a1726e201730faf2e9aa47c35a3ea4d81aa3c61e,61.5,23.75
552b44f0bad279ac4fa0062a6eeb6aa98a92374d,30.267197,-97.7431
0c8b8556837eebaf44491abf4ba94817908278a8,44.818604,20.468094
a7c4ed4369d792a1f8f8401176b7852e59890119,13.0,-2.0
97c5b5d5210003eefd4e1ecaf84a66befea7bc21,38.032898,-78.5137
f5592b5db62185f40347431467e8f0ebc76b58fb,33.786606,-118.2987
745220702651a13d93b691ec043f648f8eca848f,-22.533295,-44.183304
75077587cb6e11317b023813ac41f26be12c657c,20.350006,-102.0
