"date","freq","btc"
2010-03-16,129,7451
2010-03-17,142,8200
2010-03-18,149,13700
2010-03-19,170,11596
2010-03-20,214,14651
2010-03-21,185,9301
2010-03-22,197,12100
2010-03-23,210,13636.93
2010-03-24,191,10750
2010-03-25,201,33401
2010-03-26,212,13700
2010-03-27,189,12050
2010-03-28,188,10900
2010-03-29,210,13300
2010-03-30,230,11750
2010-03-31,204,11424.2
2010-04-01,165,9250
2010-04-02,182,10523.4795
2010-04-03,156,9950
2010-04-04,190,10600
2010-04-05,190,17866.19
2010-04-06,187,16215.141
2010-04-07,205,12550
2010-04-08,206,13088.74
2010-04-09,270,40907.086
2010-04-10,273,25254.93
2010-04-11,296,29220.15
2010-04-12,228,36653.77
2010-04-13,213,11696
2010-04-14,311,72291.09
2010-04-15,253,71730.3
2010-04-16,253,18757.22
2010-04-17,279,17227.38
2010-04-18,6400,49675.934
2010-04-19,272,33779.55
2010-04-20,266,26428.81
2010-04-21,239,17460
2010-04-22,192,28642.852
2010-04-23,235,20100.09
2010-04-24,213,18893
2010-04-25,225,18518.281
2010-04-26,229,24468.01
2010-04-27,247,13097.04
2010-04-28,231,17492.791
2010-04-29,173,17291.01
2010-04-30,190,63314.918
2010-05-01,203,14004
2010-05-02,197,14800
2010-05-03,168,14654
2010-05-04,199,27573.107
2010-05-05,149,19982.67
2010-05-06,183,23801.01
2010-05-07,158,41104
2010-05-08,205,27995.14
2010-05-09,176,13803.52
2010-05-10,149,14163.779
2010-05-11,141,8150.1504
2010-05-12,159,27970.11
2010-05-13,167,21439.781
2010-05-14,157,17278.938
2010-05-15,111,7701.64
2010-05-16,148,9363.641
2010-05-17,191,17668.48
2010-05-18,233,21878.898
2010-05-19,220,20304.61
2010-05-20,240,13436.931
2010-05-21,231,48474
2010-05-22,308,60577.527
2010-05-23,262,27153.36
2010-05-24,249,14791
2010-05-25,279,19300
2010-05-26,286,29050.77
2010-05-27,270,22201.938
2010-05-28,283,40356.88
2010-05-29,252,55313.3
2010-05-30,201,11061
2010-05-31,173,14650
2010-06-01,190,12343.98
2010-06-02,199,15650.62
2010-06-03,257,16780.758
2010-06-04,184,38977.35
2010-06-05,200,13800
2010-06-06,192,15503.311
2010-06-07,230,39049.8
2010-06-08,215,22851
2010-06-09,226,73891.57
2010-06-10,228,37465.63
2010-06-11,269,19728.78
2010-06-12,234,19893.1
2010-06-13,268,27701.01
2010-06-14,290,52947.01
2010-06-15,281,39086
2010-06-16,201,35974.082
2010-06-17,212,29460.45
2010-06-18,202,18194.68
2010-06-19,223,65477.797
2010-06-20,246,38023
2010-06-21,271,47822.508
2010-06-22,248,37454.22
2010-06-23,278,47105
2010-06-24,268,43796.367
2010-06-25,206,24378
2010-06-26,213,68764.74
2010-06-27,243,21038
2010-06-28,266,69518.05
2010-06-29,282,51679.605
2010-06-30,330,44405.992
2010-07-01,280,46796.914
2010-07-02,286,111259.71
2010-07-03,269,40778.5
2010-07-04,232,36810
2010-07-05,265,61548.008
2010-07-06,204,48055.5
2010-07-07,254,30229.31
2010-07-08,257,24361.941
2010-07-09,263,19038
2010-07-10,255,39542.742
2010-07-11,1294,515783.1
2010-07-12,3362,2221297.5
2010-07-13,1890,337133.53
2010-07-14,11324,297226.8
2010-07-15,1797,121082.234
2010-07-16,1386,84657.71
2010-07-17,608,45575.617
2010-07-18,605,29150.092
2010-07-19,663,52553.324
2010-07-20,933,43706.28
2010-07-21,612,33839.33
2010-07-22,490,51619.4
2010-07-23,490,26243.04
2010-07-24,1324,63255.84
2010-07-25,3321,55921.344
2010-07-26,597,92141.51
2010-07-27,603,42048.285
2010-07-28,3541,72363.555
2010-07-29,459,30509.34
2010-07-30,395,29423.514
2010-07-31,359,26790.213
2010-08-01,435,281325.66
2010-08-02,500,75596.62
2010-08-03,952,51767.965
2010-08-04,588,46467.594
2010-08-05,805,50508.082
2010-08-06,410,34860.168
2010-08-07,329,22374.805
2010-08-08,516,24145.395
2010-08-09,543,94290.85
2010-08-10,395,32149.33
2010-08-11,494,68324.34
2010-08-12,794,45980.87
2010-08-13,443,26763.525
2010-08-14,504,31256.55
2010-08-15,375,30846.918
2010-08-16,550,73739.28
2010-08-17,424,53463.35
2010-08-18,525,44545.773
