Date,value
2011-01-01,996
2011-01-02,876
2011-01-03,1879
2011-01-04,1474
2011-01-05,1727
2011-01-06,942
2011-01-07,1938
2011-01-08,1783
2011-01-09,1894
2011-01-10,1980
2011-01-11,1857
2011-01-12,1784
2011-01-13,1909
2011-01-14,1761
2011-01-15,1573
2011-01-16,1416
2011-01-17,1373
2011-01-18,1540
2011-01-19,1576
2011-01-20,1637
2011-01-21,1996
2011-01-22,2289
2011-01-23,1992
2011-01-24,2143
2011-01-25,1527
2011-01-26,1606
2011-01-27,1468
2011-01-28,2157
2011-01-29,2117
2011-01-30,5349
2011-01-31,1730
2011-02-01,1836
2011-02-02,1417
2011-02-03,1318
2011-02-04,1568
2011-02-05,1442
2011-02-06,1356
2011-02-07,1515
2011-02-08,1548
2011-02-09,2381
2011-02-10,4154
2011-02-11,3880
2011-02-12,3130
2011-02-13,3249
2011-02-14,3603
2011-02-15,3551
2011-02-16,3662
2011-02-17,3702
2011-02-18,3546
2011-02-19,2722
2011-02-20,3760
2011-02-21,3423
2011-02-22,3818
2011-02-23,3753
2011-02-24,3836
2011-02-25,3599
2011-02-26,3466
2011-02-27,3583
2011-02-28,3278
2011-03-01,5183
2011-03-02,3654
2011-03-03,5691
2011-03-04,3356
2011-03-05,3354
2011-03-06,3500
2011-03-07,3678
2011-03-08,4102
2011-03-09,3289
2011-03-10,3098
2011-03-11,3427
2011-03-12,4120
2011-03-13,4093
2011-03-14,4065
2011-03-15,4535
2011-03-16,4737
2011-03-17,4343
2011-03-18,4579
2011-03-19,4284
2011-03-20,7451
2011-03-21,7498
2011-03-22,4193
2011-03-23,7842
2011-03-24,4445
2011-03-25,4196
2011-03-26,6552
2011-03-27,5611
2011-03-28,6817
2011-03-29,3818
2011-03-30,4156
2011-03-31,4046
2011-04-01,3199
2011-04-02,3920
2011-04-03,4034
2011-04-04,5231
2011-04-05,4082
2011-04-06,3508
2011-04-07,3622
2011-04-08,3854
2011-04-09,3626
2011-04-10,3722
2011-04-11,3802
2011-04-12,4955
2011-04-13,5315
2011-04-14,5205
2011-04-15,4327
2011-04-16,3682
2011-04-17,6075
2011-04-18,4594
2011-04-19,7614
2011-04-20,4637
2011-04-21,4320
2011-04-22,3939
2011-04-23,5724
2011-04-24,4153
2011-04-25,5570
2011-04-26,8199
2011-04-27,7916
2011-04-28,6115
2011-04-29,8116
2011-04-30,8718
2011-05-01,7303
2011-05-02,6190
2011-05-03,6751
2011-05-04,6188
2011-05-05,7745
2011-05-06,6894
2011-05-07,8215
2011-05-08,7028
2011-05-09,7484
2011-05-10,7155
2011-05-11,6685
2011-05-12,8394
2011-05-13,8632
2011-05-14,9799
2011-05-15,9760
2011-05-16,13415
2011-05-17,11006
2011-05-18,13561
2011-05-19,12188
2011-05-20,12001
2011-05-21,11481
2011-05-22,12551
2011-05-23,13736
2011-05-24,14863
2011-05-25,15714
2011-05-26,14321
2011-05-27,10753
2011-05-28,12014
2011-05-29,12347
2011-05-30,14389
2011-05-31,13352
2011-06-01,15256
2011-06-02,16854
2011-06-03,19708
2011-06-04,19304
2011-06-05,19005
2011-06-06,21649
2011-06-07,19851
2011-06-08,27125
2011-06-09,28447
2011-06-10,25793
2011-06-11,27464
2011-06-12,28611
2011-06-13,28813
2011-06-14,34164
2011-06-15,30198
2011-06-16,28625
2011-06-17,27587
2011-06-18,30741
2011-06-19,28805
2011-06-20,29460
2011-06-21,26655
2011-06-22,30367
2011-06-23,28101
2011-06-24,24880
2011-06-25,22058
2011-06-26,25686
2011-06-27,29890
2011-06-28,25548
2011-06-29,24249
2011-06-30,23713
2011-07-01,33910
2011-07-02,31788
2011-07-03,21870
2011-07-04,25745
2011-07-05,24486
2011-07-06,24892
2011-07-07,22254
2011-07-08,24987
2011-07-09,22113
2011-07-10,31659
2011-07-11,25167
2011-07-12,24453
2011-07-13,27418
2011-07-14,28355
2011-07-15,24548
2011-07-16,25807
2011-07-17,23757
2011-07-18,24986
2011-07-19,24685
2011-07-20,24064
2011-07-21,25122
2011-07-22,24656
2011-07-23,20926
2011-07-24,24223
2011-07-25,27187
2011-07-26,22940
2011-07-27,24130
2011-07-28,24787
